Teams,Places,Matches,Wins,Draws,Loses,Goals,Goals Diff,Points,Year,Spend,Balance,Spend_Rank
Barcelona,1  ,38,25,9,4,73:29,44,84,04/05,78500000.0,-63750000.0,1
Real Madrid,2  ,38,25,5,8,71:32,39,80,04/05,58700000.0,-49450000.0,2
Valencia,7  ,38,14,16,8,54:39,15,58,04/05,40000000.0,-32000000.0,3
Atlético Madrid,11  ,38,13,11,14,40:34,6,50,04/05,17600000.0,-17600000.0,4
Villarreal,3  ,38,18,11,9,69:37,32,65,04/05,15800000.0,-6080000.0,5
Sevilla FC,6  ,38,17,9,12,44:41,3,60,04/05,11530000.0,-11530000.0,6
Real Betis,4  ,38,16,14,8,62:50,12,62,04/05,10950000.0,-10950000.0,7
Real Sociedad,14  ,38,13,8,17,47:56,-9,47,04/05,6750000.0,10050000.0,8
Dep. La Coruña,8  ,38,12,15,11,46:50,-4,51,04/05,5000000.0,-2800000.0,9
RCD Mallorca,17  ,38,10,9,19,42:63,-21,39,04/05,3900000.0,23100000.0,10
Real Zaragoza,12  ,38,14,8,16,52:57,-5,50,04/05,3850000.0,-3850000.0,11
Levante,18  ,38,9,10,19,39:58,-19,37,04/05,3400000.0,-3400000.0,12
Barcelona,1  ,38,25,9,4,73:29,44,84,04/05,3050000.0,-2860000.0,13
Racing,16  ,38,12,8,18,41:58,-17,44,04/05,1140000.0,-1140000.0,14
Málaga CF,10  ,38,15,6,17,40:48,-8,51,04/05,750000.0,2950000.0,15
CD Numancia,19  ,38,6,11,21,30:61,-31,29,04/05,720000.0,-90000.0,16
Athletic,9  ,38,14,9,15,59:54,5,51,04/05,0.0,0.0,17
Getafe,13  ,38,12,11,15,38:46,-8,47,04/05,0.0,0.0,18
CA Osasuna,15  ,38,12,10,16,46:65,-19,46,04/05,0.0,0.0,19
Albacete,20  ,38,6,10,22,33:56,-23,28,04/05,0.0,3000000.0,20
Real Madrid,2  ,38,20,10,8,70:40,30,70,05/06,89500000.0,-46400000.0,1
Atlético Madrid,10  ,38,13,13,12,45:37,8,52,05/06,26500000.0,-21200000.0,2
Valencia,3  ,38,19,12,7,58:33,25,69,05/06,24810000.0,-10910000.0,3
Sevilla FC,5  ,38,20,8,10,54:39,15,68,05/06,23000000.0,25200000.0,4
Villarreal,7  ,38,14,15,9,50:39,11,57,05/06,19900000.0,-6550000.0,5
Barcelona,1  ,38,25,7,6,80:35,45,82,05/06,15630000.0,-9530000.0,6
RCD Mallorca,13  ,38,10,13,15,37:51,-14,43,05/06,9750000.0,-4750000.0,7
Real Zaragoza,11  ,38,10,16,12,46:51,-5,46,05/06,7000000.0,7500000.0,8
Real Betis,14  ,38,10,12,16,34:51,-17,42,05/06,6550000.0,-6070000.0,9
Racing,17  ,38,9,13,16,36:49,-13,40,05/06,5300000.0,1150000.0,10
Dep. La Coruña,8  ,38,15,10,13,47:45,2,55,05/06,5000000.0,19180000.0,11
Celta de Vigo,6  ,38,20,4,14,45:33,12,64,05/06,4250000.0,-4250000.0,12
Real Sociedad,16  ,38,11,7,20,48:65,-17,40,05/06,3500000.0,1300000.0,13
Cádiz CF,19  ,38,8,12,18,36:52,-16,36,05/06,3300000.0,-3300000.0,14
Athletic,12  ,38,11,12,15,40:46,-6,45,05/06,3000000.0,9000000.0,15
Getafe,9  ,38,15,9,14,54:49,5,54,05/06,1800000.0,-1200000.0,16
Málaga CF,20  ,38,5,9,24,36:68,-32,24,05/06,1520000.0,480000.0,17
Alavés,18  ,38,9,12,17,35:54,-19,39,05/06,1400000.0,-1400000.0,18
CA Osasuna,4  ,38,21,5,12,49:43,6,68,05/06,1000000.0,4400000.0,19
Barcelona,1  ,38,25,7,6,80:35,45,82,05/06,0.0,11000000.0,20
Real Madrid,1  ,38,23,7,8,66:40,26,76,06/07,103000000.0,-87650000.0,1
